typing_speed,error_rate,pause_frequency,key_press_duration
49.97,2.17,3.36,95.13
43.62,4.16,3.56,103.19
51.48,4.31,4.08,142.42
60.23,3.4,4.05,138.31
42.66,4.68,1.62,119.37
42.66,5.81,2.06,123.52
60.79,8.77,3.52,158.33
52.67,5.35,3.51,102.25
40.31,5.52,3.52,136.41
50.43,4.85,6.85,113.93
40.37,1.16,3.57,113.47
40.34,4.95,4.14,152.96
47.42,5.12,3.95,144.76
25.87,9.93,3.65,144.41
27.75,4.62,2.68,159.16
39.38,5.6,3.76,120.63
34.87,4.93,2.23,140.46
48.14,2.66,2.76,110.69
35.92,7.29,2.51,129.72
30.88,6.5,3.08,116.1
59.66,6.58,5.31,122.91
42.74,3.18,1.13,137.85
45.68,7.81,3.69,95.45
30.75,2.2,1.39,182.77
39.56,6.17,2.53,89.82
46.11,9.38,4.09,83.57
33.49,3.02,3.06,154.74
48.76,3.87,1.92,143.75
38.99,5.2,2.28,138.72
42.08,3.99,3.68,138.85
38.98,1.9,2.27,119.63
63.52,5.14,3.22,93.08
44.87,2.88,3.05,122.27
34.42,5.95,2.35,99.69
53.23,3.16,5.14,149.25
32.79,8.1,3.63,115.59
47.09,3.43,0.97,95.24
25.4,4.36,3.19,110.36
31.72,6.63,2.34,132.39
46.97,2.54,3.85,103.09
52.38,5.45,2.21,95.33
46.71,7.61,2.89,127.31
43.84,1.79,3.5,127.35
41.99,5.37,3.87,104.79
30.21,5.52,1.8,105.87
37.8,6.56,2.67,126.96
40.39,2.53,2.53,76.56
55.57,2.36,2.35,77.78
48.44,6.04,4.77,98.45
27.37,5.59,3.4,113.6
48.24,5.5,1.74,129.33
41.15,5.69,3.92,164.26
38.23,3.64,5.12,145.73
51.12,5.46,4.03,115.2
55.31,5.59,1.48,119.43
54.31,3.57,2.52,89.92
36.61,8.73,4.27,119.44
41.91,5.95,2.29,111.34
48.31,2.62,3.44,129.68
54.76,6.31,3.77,95.18
40.21,3.05,2.07,135.58
43.14,6.57,2.94,165.98
33.94,7.32,0.0,116.74
33.04,3.36,1.98,132.05
53.13,6.93,2.75,140.7
58.56,5.83,1.75,107.96
44.28,6.64,4.63,126.72
55.04,8.79,1.57,120.38
48.62,4.51,2.56,122.93
38.55,3.49,3.13,96.81
48.61,3.22,4.44,120.74
60.38,3.37,1.56,134.94
44.64,4.85,4.16,163.53
60.65,5.68,3.01,148.78
18.8,5.55,2.02,184.6
53.22,6.65,3.46,96.98
45.87,5.03,3.2,146.17
42.01,7.91,2.4,125.5
45.92,4.47,3.07,185.69
25.12,10.44,2.61,95.75
42.8,6.25,3.11,94.81
48.57,3.29,3.66,102.02
59.78,2.86,4.59,56.28
39.82,5.96,1.76,104.23
36.92,4.55,5.13,97.23
39.98,6.43,1.05,124.51
54.15,5.95,2.85,130.25
48.29,4.85,3.59,176.29
39.7,3.31,3.28,148.51
50.13,1.97,2.38,102.69
45.97,4.11,2.79,93.05
54.69,6.71,2.51,134.76
37.98,5.43,2.41,80.39
41.72,2.51,3.85,174.94
41.08,5.35,3.36,155.38
30.36,5.77,2.31,105.92
47.96,3.23,3.9,68.61
47.61,5.31,3.31,160.62
45.05,5.12,3.81,116.56
42.65,2.71,3.63,157.13
